CloseTime,OpenPrice,HighPrice,LowPrice,ClosePrice,VolumeBase,VolumeQuote
2022-06-02 11:55:00,20.47,20.49,20.46,20.49,974.17,19945.3613
2022-06-02 11:56:00,20.48,20.49,20.46,20.48,1449.52,29675.3087
2022-06-02 11:57:00,20.48,20.48,20.47,20.47,210.82,4316.648
2022-06-02 11:58:00,20.47,20.48,20.45,20.47,1053.17,21557.1637
2022-06-02 11:59:00,20.47,20.49,20.44,20.49,714.08,14609.0682
2022-06-02 12:00:00,20.49,20.5,20.47,20.5,1916.42,39262.9915
2022-06-02 12:01:00,20.49,20.54,20.47,20.48,1600.96,32815.0501
2022-06-02 12:02:00,20.49,20.49,20.43,20.45,1726.38,35315.5688
2022-06-02 12:03:00,20.45,20.49,20.44,20.44,1339.37,27396.6077
2022-06-02 12:04:00,20.45,20.47,20.42,20.42,1004.64,20543.4412
2022-06-02 12:05:00,20.43,20.44,20.41,20.41,1621.22,33112.951
2022-06-02 12:06:00,20.41,20.42,20.36,20.36,2517.65,51296.2057
2022-06-02 12:07:00,20.37,20.4,20.36,20.38,763.53,15563.4191
2022-06-02 12:08:00,20.4,20.4,20.37,20.39,683.72,13934.5906
2022-06-02 12:09:00,20.37,20.38,20.35,20.36,469.9,9568.2211
2022-06-02 12:10:00,20.35,20.36,20.33,20.35,1429.2,29080.3232
2022-06-02 12:11:00,20.35,20.36,20.32,20.33,1225.85,24933.9115
2022-06-02 12:12:00,20.34,20.36,20.32,20.36,1315.87,26762.6426
2022-06-02 12:13:00,20.36,20.38,20.34,20.34,344.94,7023.3437
2022-06-02 12:14:00,20.35,20.37,20.34,20.35,561.67,11431.6682
2022-06-02 12:15:00,20.36,20.4,20.35,20.39,1178.95,24021.7305
2022-06-02 12:16:00,20.4,20.47,20.38,20.42,1743.7,35601.6145
2022-06-02 12:17:00,20.41,20.43,20.41,20.43,958.32,19570.3232
2022-06-02 12:18:00,20.42,20.42,20.34,20.34,1600.93,32645.085
2022-06-02 12:19:00,20.34,20.35,20.33,20.34,746.62,15185.8036
2022-06-02 12:20:00,20.33,20.34,20.3,20.3,275.42,5594.5214
2022-06-02 12:21:00,20.3,20.36,20.3,20.35,588.53,11965.3788
2022-06-02 12:22:00,20.35,20.35,20.31,20.32,276.16,5615.6485
2022-06-02 12:23:00,20.32,20.34,20.31,20.31,345.11,7013.877
2022-06-02 12:24:00,20.32,20.33,20.31,20.32,573.03,11641.5929
2022-06-02 12:25:00,20.32,20.34,20.3,20.32,861.41,17502.5324
2022-06-02 12:26:00,20.32,20.32,20.29,20.31,451.3,9165.1306
2022-06-02 12:27:00,20.31,20.33,20.3,20.32,640.46,13010.9751
2022-06-02 12:28:00,20.32,20.33,20.3,20.3,731.47,14852.7971
2022-06-02 12:29:00,20.3,20.31,20.3,20.31,201.11,4083.5855
2022-06-02 12:30:00,20.31,20.32,20.3,20.31,810.81,16465.1005
2022-06-02 12:31:00,20.32,20.35,20.3,20.33,1330.89,27059.5049
2022-06-02 12:32:00,20.33,20.35,20.3,20.3,384.59,7814.9104
2022-06-02 12:33:00,20.3,20.33,20.3,20.31,954.26,19386.9905
2022-06-02 12:34:00,20.32,20.32,20.28,20.28,1878.06,38112.363
2022-06-02 12:35:00,20.29,20.3,20.22,20.24,1455.07,29484.8613
2022-06-02 12:36:00,20.25,20.26,20.23,20.26,605.37,12251.5478
2022-06-02 12:37:00,20.26,20.27,20.23,20.25,640.52,12965.3581
2022-06-02 12:38:00,20.26,20.27,20.24,20.26,1033.76,20942.9016
2022-06-02 12:39:00,20.26,20.28,20.26,20.28,306.67,6216.376
2022-06-02 12:40:00,20.28,20.29,20.27,20.27,360.24,7304.6307
2022-06-02 12:41:00,20.27,20.31,20.27,20.3,381.04,7731.3343
2022-06-02 12:42:00,20.3,20.33,20.3,20.33,167.69,3406.4342
2022-06-02 12:43:00,20.33,20.33,20.3,20.32,294.89,5992.0341
2022-06-02 12:44:00,20.32,20.32,20.29,20.29,114.29,2320.3218
2022-06-02 12:45:00,20.3,20.31,20.29,20.3,501.31,10178.7267
2022-06-02 12:46:00,20.3,20.3,20.26,20.26,645.14,13072.4839
2022-06-02 12:47:00,20.25,20.28,20.25,20.27,419.08,8494.9262
2022-06-02 12:48:00,20.26,20.28,20.25,20.25,711.09,14408.9991
2022-06-02 12:49:00,20.25,20.28,20.25,20.26,592.26,12003.4571
2022-06-02 12:50:00,20.26,20.28,20.25,20.26,505.96,10253.9179
2022-06-02 12:51:00,20.27,20.29,20.27,20.28,414.03,8396.9696
2022-06-02 12:52:00,20.28,20.3,20.26,20.26,645.27,13084.7647
2022-06-02 12:53:00,20.26,20.26,20.23,20.24,732.36,14825.5326
2022-06-02 12:54:00,20.25,20.25,20.24,20.25,172.37,3489.4084
2022-06-02 12:55:00,20.24,20.26,20.24,20.26,374.07,7574.0535
2022-06-02 12:56:00,20.25,20.3,20.25,20.28,312.36,6336.2173
2022-06-02 12:57:00,20.28,20.29,20.26,20.27,119.03,2413.5397
2022-06-02 12:58:00,20.27,20.27,20.23,20.26,236.51,4789.9368
2022-06-02 12:59:00,20.26,20.26,20.22,20.22,159.53,3228.3608
2022-06-02 13:00:00,20.23,20.25,20.22,20.25,399.39,8081.1194
2022-06-02 13:01:00,20.25,20.26,20.2,20.21,1146.29,23182.366
2022-06-02 13:02:00,20.22,20.23,20.21,20.22,267.39,5407.5172
2022-06-02 13:03:00,20.21,20.22,20.15,20.15,831.79,16784.1217
2022-06-02 13:04:00,20.14,20.17,20.14,20.15,1006.95,20284.6861
2022-06-02 13:05:00,20.16,20.17,20.13,20.14,1526.96,30774.0921
2022-06-02 13:06:00,20.14,20.14,20.08,20.08,1353.84,27234.953
2022-06-02 13:07:00,20.09,20.13,20.09,20.1,1382.69,27802.081
2022-06-02 13:08:00,20.09,20.11,20.06,20.06,997.06,20029.4542
2022-06-02 13:09:00,20.06,20.13,20.06,20.11,1125.48,22626.0949
2022-06-02 13:10:00,20.1,20.15,20.09,20.15,902.4,18163.6693
2022-06-02 13:11:00,20.16,20.16,20.11,20.13,388.81,7829.6811
2022-06-02 13:12:00,20.11,20.15,20.09,20.11,625.11,12580.7655
2022-06-02 13:13:00,20.12,20.14,20.08,20.08,3945.18,79355.5268
2022-06-02 13:14:00,20.08,20.08,19.97,20.04,3294.9,65974.8369
2022-06-02 13:15:00,20.05,20.05,19.99,20.04,4486.21,89830.9764
2022-06-02 13:16:00,20.04,20.05,19.88,19.91,2877.77,57430.0465
2022-06-02 13:17:00,19.91,19.93,19.84,19.87,2055.95,40869.3927
2022-06-02 13:18:00,19.88,19.92,19.87,19.91,3486.96,69332.5828
2022-06-02 13:19:00,19.92,19.92,19.85,19.85,1106.29,22012.6702
2022-06-02 13:20:00,19.85,19.87,19.78,19.8,1892.51,37517.4784
2022-06-02 13:21:00,19.8,19.81,19.74,19.81,1106.99,21889.1703
2022-06-02 13:22:00,19.81,19.87,19.8,19.85,721.66,14310.4819
2022-06-02 13:23:00,19.84,19.84,19.79,19.8,611.06,12106.4377
2022-06-02 13:24:00,19.8,19.85,19.77,19.85,1140.72,22587.3826
2022-06-02 13:25:00,19.85,19.91,19.82,19.85,2142.98,42586.8193
2022-06-02 13:26:00,19.84,19.85,19.75,19.77,1484.79,29361.6074
2022-06-02 13:27:00,19.77,19.84,19.77,19.81,943.66,18703.8111
2022-06-02 13:28:00,19.81,19.95,19.81,19.91,1163.83,23120.864
2022-06-02 13:29:00,19.92,19.98,19.91,19.97,1021.13,20367.5077
2022-06-02 13:30:00,19.97,20.01,19.93,19.94,1076.41,21493.7849
2022-06-02 13:31:00,19.94,19.97,19.83,19.84,2277.87,45290.2225
2022-06-02 13:32:00,19.84,19.86,19.78,19.78,1419.08,28140.2712
2022-06-02 13:33:00,19.79,19.86,19.79,19.86,1481.62,29395.4492
2022-06-02 13:34:00,19.86,19.91,19.85,19.89,1776.08,35319.6335
2022-06-02 13:35:00,19.88,19.91,19.85,19.91,1577.29,31353.2508
2022-06-02 13:36:00,19.92,19.92,19.87,19.87,1214.13,24153.0745
2022-06-02 13:37:00,19.86,19.89,19.8,19.82,1101.86,21864.3106
2022-06-02 13:38:00,19.82,19.89,19.82,19.88,1036.18,20580.4625
2022-06-02 13:39:00,19.89,19.91,19.88,19.91,1010.75,20102.3909
2022-06-02 13:40:00,19.91,19.99,19.91,19.99,1719.56,34270.7022
2022-06-02 13:41:00,19.98,20.01,19.95,19.99,1910.03,38152.3887
2022-06-02 13:42:00,19.99,20.23,19.99,20.13,4521.43,91001.6315
2022-06-02 13:43:00,20.15,20.34,20.15,20.34,4597.37,93124.8163
2022-06-02 13:44:00,20.35,20.37,20.25,20.36,2502.74,50842.5503
2022-06-02 13:45:00,20.35,20.41,20.31,20.34,2816.35,57314.9328
2022-06-02 13:46:00,20.34,20.35,20.23,20.28,2061.89,41865.4715
2022-06-02 13:47:00,20.27,20.29,20.22,20.26,1151.04,23309.8758
2022-06-02 13:48:00,20.26,20.27,20.23,20.23,815.4,16512.1033
2022-06-02 13:49:00,20.22,20.22,20.15,20.18,1493.24,30148.5759
2022-06-02 13:50:00,20.18,20.28,20.18,20.27,1016.65,20575.9125
2022-06-02 13:51:00,20.27,20.27,20.21,20.25,713.02,14430.1386
2022-06-02 13:52:00,20.25,20.25,20.19,20.2,1021.96,20658.4451
2022-06-02 13:53:00,20.19,20.22,20.18,20.2,1319.69,26660.1411
2022-06-02 13:54:00,20.2,20.23,20.2,20.21,1154.89,23350.9606
2022-06-02 13:55:00,20.21,20.23,20.1,20.12,1305.66,26314.5588
2022-06-02 13:56:00,20.12,20.13,20.0,20.02,1016.93,20391.7512
2022-06-02 13:57:00,20.01,20.02,19.98,19.99,1507.07,30139.4069
2022-06-02 13:58:00,19.98,20.03,19.93,20.03,1336.19,26699.4549
2022-06-02 13:59:00,20.03,20.1,20.03,20.08,1651.56,33133.6291
2022-06-02 14:00:00,20.09,20.14,20.08,20.1,1419.11,28532.5179
2022-06-02 14:01:00,20.08,20.19,20.02,20.19,1909.06,38338.0092
2022-06-02 14:02:00,20.2,20.21,20.15,20.18,1724.58,34806.3283
