CloseTime,OpenPrice,HighPrice,LowPrice,ClosePrice,VolumeBase,VolumeQuote
2020-04-26,7505.0,7705.0,7431.07,7538.67,43874.303835,331291106.1569558
2020-04-27,7539.03,7700.0,7480.0,7693.1,50522.259775,384200088.91399515
2020-04-28,7693.1,7792.02,7606.0,7774.62,65434.734424,503975077.91850775
2020-04-29,7773.51,7780.0,7659.12,7738.98,46302.163664,357387232.31795615
2020-04-30,7738.58,8952.89,7710.05,8778.57,183531.259661,1536256580.008494
2020-05-01,8778.58,9460.0,8401.0,8620.0,201412.619747,1796563673.9450815
2020-05-02,8620.0,9059.18,8613.56,8826.96,91366.369429,804740084.4544218
2020-05-03,8825.67,9010.0,8753.0,8972.05,58903.439872,522960212.1716129
2020-05-04,8972.58,9200.0,8712.0,8894.16,90108.789392,808270946.7123014
2020-05-05,8894.15,8950.0,8522.0,8871.96,84309.383733,737399087.9001995
2020-05-06,8871.92,9118.58,8760.0,9021.83,76339.519724,681825635.9590983
2020-05-07,9021.36,9395.0,8906.21,9142.92,105919.139843,972736745.0164307
2020-05-08,9143.4,10067.0,9021.0,9986.4,146833.391124,1406768892.692715
2020-05-09,9986.3,10035.96,9705.0,9800.01,99793.853035,988185432.7561442
2020-05-10,9800.02,9914.25,9520.0,9539.4,81925.083292,794754881.3274148
2020-05-11,9539.1,9574.83,8117.0,8722.77,182478.471848,1582966982.2414258
2020-05-12,8722.77,9168.0,8200.0,8561.52,168352.56034,1464424723.76378
2020-05-13,8562.04,8978.26,8528.78,8810.79,86278.613909,758057348.7921865
2020-05-14,8810.99,9398.0,8792.99,9309.37,92457.987983,839650831.1433755
2020-05-15,9309.35,9939.0,9256.76,9791.98,129508.041902,1246913325.7139306
2020-05-16,9791.97,9845.62,9150.0,9316.42,115873.668233,1099558159.6959214
2020-05-17,9315.96,9588.0,9220.0,9381.27,59515.504467,559869721.8960309
2020-05-18,9380.81,9888.0,9322.1,9680.04,68630.093437,662917533.5657051
2020-05-19,9681.11,9950.0,9464.23,9733.93,81999.930327,797557472.9753777
2020-05-20,9733.93,9897.21,9474.0,9775.53,78293.755172,758306436.7045059
2020-05-21,9775.13,9842.0,9326.0,9511.43,74918.505823,721140086.3850856
2020-05-22,9511.43,9578.47,8815.0,9068.65,108924.380698,1002005780.0014634
2020-05-23,9067.51,9271.0,8933.52,9170.0,58906.660919,537512296.9568135
2020-05-24,9170.0,9307.85,9070.0,9179.15,43519.077924,400340423.4691331
2020-05-25,9179.01,9298.0,8700.0,8720.34,70373.079783,636725234.6440537
2020-05-26,8718.14,8979.66,8642.72,8900.35,62702.12468,552391514.1651481
2020-05-27,8900.35,9017.67,8700.0,8841.18,58298.323947,516442333.9640881
2020-05-28,8841.0,9225.0,8811.73,9204.07,68898.613914,624553552.533767
2020-05-29,9204.07,9625.47,9110.0,9575.89,74081.633114,693662036.9201874
2020-05-30,9575.87,9605.26,9330.0,9427.07,57319.913774,542242147.9208447
2020-05-31,9426.6,9740.0,9331.23,9697.72,55664.826179,530594437.3786999
2020-06-01,9697.72,9700.0,9381.41,9448.27,48302.15122,460968638.90985423
2020-06-02,9448.27,10380.0,9421.67,10200.77,76353.37185,746694906.7117296
2020-06-03,10202.71,10228.99,9266.0,9518.04,108871.206689,1069103275.1525635
2020-06-04,9518.02,9690.0,9365.21,9666.24,46201.056745,441436327.25822043
2020-06-05,9666.32,9881.63,9450.0,9789.06,57452.543546,557200427.3103886
2020-06-06,9788.14,9854.75,9581.0,9621.16,47778.74413,465110344.0118143
2020-06-07,9621.17,9735.0,9531.05,9666.3,32751.095967,315586972.60614216
2020-06-08,9666.85,9802.0,9372.46,9746.99,57951.539276,556906975.9585916
2020-06-09,9746.99,9800.0,9633.0,9782.01,40662.617021,395439560.80885845
2020-06-10,9782.0,9877.0,9570.0,9772.43,46019.893331,447169076.494161
2020-06-11,9772.44,9992.72,9704.18,9885.0,47057.209123,461666728.54353046
2020-06-12,9885.22,9964.0,9113.0,9280.4,94254.220318,900565617.4417435
2020-06-13,9278.88,9557.12,9232.51,9465.13,50089.305811,471728725.47382164
2020-06-14,9464.96,9494.73,9351.0,9473.34,27757.135595,261648096.88896
2020-06-15,9473.34,9480.99,9245.0,9342.1,30042.191767,282007378.84373516
2020-06-16,9342.1,9495.0,8910.45,9426.02,86047.791461,792959325.2391251
2020-06-17,9426.05,9589.0,9373.09,9525.59,51985.019826,493819868.19410324
2020-06-18,9526.97,9565.0,9236.61,9465.14,48045.386399,453200139.7512256
2020-06-19,9465.13,9489.0,9280.0,9386.32,37373.807734,351572960.5446403
2020-06-20,9386.32,9438.3,9215.79,9310.23,45328.420288,423062958.13427067
2020-06-21,9310.23,9395.0,9170.95,9358.95,30319.387394,282030337.70706826
2020-06-22,9358.95,9422.0,9281.54,9294.69,24316.845535,227467186.24373952
2020-06-23,9294.69,9780.0,9277.09,9685.69,57545.428671,547679769.9444051
2020-06-24,9685.69,9720.0,9577.03,9624.89,40950.310573,394708400.5035959
2020-06-25,9624.33,9670.0,9208.0,9296.49,61570.967682,579421124.9851245
2020-06-26,9298.33,9340.0,9009.69,9249.49,55785.339266,513970403.96282136
