CloseTime,OpenPrice,HighPrice,LowPrice,ClosePrice,VolumeBase,VolumeQuote
2020-04-26,187.6,198.36,185.76,194.21,866477.23657,167703042.2724187
2020-04-27,194.21,200.0,192.3,197.38,758525.81533,148433709.7771867
2020-04-28,197.39,199.05,189.29,196.34,896623.50927,174774891.3858937
2020-04-29,196.33,198.5,192.36,196.24,636829.83528,124476030.382622
2020-04-30,196.24,218.77,196.22,215.36,1620259.79635,338290261.2362007
2020-05-01,215.4,227.3,202.0,206.08,1747732.86501,374461837.1595125
2020-05-02,206.07,217.14,205.91,212.02,794842.70394,168323966.9083455
2020-05-03,212.01,215.37,210.36,213.9,443494.67248,94389501.5178164
2020-05-04,213.89,219.3,203.92,209.86,748383.91311,158874887.0783411
2020-05-05,209.86,210.65,194.88,206.48,1114181.15943,225437518.9497461
2020-05-06,206.47,211.68,201.0,205.29,640643.66268,131905995.9779513
2020-05-07,205.3,210.77,197.71,198.97,862639.238,178144865.9870068
2020-05-08,198.92,215.1,196.43,212.0,1304705.86715,270969947.1464036
2020-05-09,212.01,216.61,206.9,211.31,917886.26112,194574872.0637267
2020-05-10,211.32,214.6,208.4,210.07,587862.87701,124624530.3155435
2020-05-11,210.09,210.18,179.59,187.54,1473054.89469,278362291.6557966
2020-05-12,187.62,193.5,176.0,185.73,1093166.7633,203366635.7823606
2020-05-13,185.8,192.24,185.48,189.76,669745.79567,126808892.3239923
2020-05-14,189.77,201.0,188.35,199.58,806128.46294,156634719.5615091
2020-05-15,199.61,206.02,195.67,203.29,1114683.36597,224230385.9034839
2020-05-16,203.29,204.08,191.66,194.86,904688.07128,179622027.5219471
2020-05-17,194.87,203.5,193.21,200.45,669892.32333,134059252.5949729
2020-05-18,200.44,209.85,199.68,207.0,708706.14267,145340083.1654754
2020-05-19,207.02,217.07,207.0,214.91,1064085.7468,226777656.0083532
2020-05-20,214.92,215.95,209.45,214.58,643696.05069,136845473.9610242
2020-05-21,214.6,215.75,204.27,209.98,679498.5312,143697594.9345831
2020-05-22,209.99,211.64,191.71,198.74,1003827.36188,203426660.054621
2020-05-23,198.72,209.19,196.24,207.36,787664.93778,159971071.9082804
2020-05-24,207.36,211.2,204.55,206.6,478555.5101,99460158.0328539
2020-05-25,206.6,210.55,199.5,199.9,673533.48551,138917297.5285009
2020-05-26,199.9,205.67,198.01,204.15,469919.38985,95409159.0930113
2020-05-27,204.22,205.0,196.9,200.89,477158.85435,96113205.8730205
2020-05-28,200.92,208.44,200.76,208.29,494813.82727,101444755.0176632
2020-05-29,208.29,220.5,204.67,220.21,643945.97769,136361627.3464155
2020-05-30,220.24,224.79,217.57,220.67,603057.27969,133219871.2299523
2020-05-31,220.63,247.0,218.8,243.66,1019544.95091,238677467.320858
2020-06-01,243.71,245.39,229.58,231.57,821561.32877,194856172.1846985
2020-06-02,231.56,250.68,230.66,248.23,823706.02433,198764896.9459982
2020-06-03,248.23,253.8,225.0,237.71,955032.66939,230564251.9819218
2020-06-04,237.71,245.0,232.71,244.52,502896.61045,120171781.1764661
