CloseTime,OpenPrice,HighPrice,LowPrice,ClosePrice,VolumeBase,VolumeQuote
2022-06-01 00:00:00,1.4657,1.4675,1.4431,1.4519,998802,1457050.0187
2022-06-01 01:00:00,1.4515,1.4613,1.4199,1.4525,1737090,2501223.9487
2022-06-01 02:00:00,1.4518,1.4555,1.4296,1.4421,855902,1232619.2284
2022-06-01 03:00:00,1.4419,1.4434,1.4065,1.4157,1298407,1846073.7463
2022-06-01 04:00:00,1.4157,1.4171,1.3936,1.4035,1425511,2000295.3389
2022-06-01 05:00:00,1.4037,1.4109,1.387,1.4061,1157736,1619786.5108
2022-06-01 06:00:00,1.4062,1.4114,1.3805,1.3967,3030194,4219636.7111
2022-06-01 07:00:00,1.3968,1.4089,1.3917,1.4043,1022904,1433503.2827
2022-06-01 08:00:00,1.4049,1.41,1.3859,1.3901,1500329,2095973.94
2022-06-01 09:00:00,1.3906,1.4055,1.3843,1.4027,2262485,3161596.8194
2022-06-01 10:00:00,1.4029,1.4167,1.3975,1.4151,843594,1186277.165
2022-06-01 11:00:00,1.415,1.4174,1.3985,1.4027,672835,946762.4956
2022-06-01 12:00:00,1.4028,1.4133,1.3901,1.4004,1060339,1484131.9793
2022-06-01 13:00:00,1.4005,1.418,1.392,1.4109,942860,1325680.1084
2022-06-01 14:00:00,1.411,1.4382,1.407,1.4273,2088285,2978887.0144
2022-06-01 15:00:00,1.4273,1.4307,1.3599,1.3858,2734400,3807169.9007
2022-06-01 16:00:00,1.3857,1.3905,1.3635,1.3668,1857068,2554192.0346
2022-06-01 17:00:00,1.3668,1.3693,1.3472,1.3546,2574093,3489846.4784
2022-06-01 18:00:00,1.3545,1.3556,1.3271,1.342,2089146,2802056.9944
2022-06-01 19:00:00,1.3417,1.3582,1.3397,1.3465,1576398,2126949.8837
2022-06-01 20:00:00,1.3464,1.3544,1.3318,1.3517,1149264,1545483.2594
2022-06-01 21:00:00,1.3521,1.3538,1.2812,1.3138,3030471,3970362.5837
2022-06-01 22:00:00,1.314,1.3224,1.3102,1.3107,652150,859113.0292
2022-06-01 23:00:00,1.3107,1.3231,1.3036,1.3206,1026621,1347025.5048
