CloseTime,OpenPrice,HighPrice,LowPrice,ClosePrice,VolumeBase,VolumeQuote
2020-08-12,2.85,3.5208,2.8433,3.2985,1552384.78,4939148.938107
2020-08-13,3.2985,3.9289,3.08,3.7558,1737042.95,6176153.724638
2020-08-14,3.75,4.1387,3.5003,3.73,1685693.06,6446312.759372
2020-08-15,3.7207,3.7676,3.321,3.4099,1474097.11,5205601.247977
2020-08-16,3.4181,3.74,3.15,3.173,1070233.2,3658005.622202
2020-08-17,3.173,3.4907,3.12,3.3885,668106.53,2227715.62781
2020-08-18,3.3885,3.3952,3.1,3.11,729413.64,2355329.78763
2020-08-19,3.11,3.7092,2.8105,3.3407,2713115.94,8885306.133224
2020-08-20,3.334,3.49,2.8,2.8868,1433243.76,4380403.488824
2020-08-21,2.8962,3.445,2.8871,3.2038,1277818.32,4078211.683582
2020-08-22,3.2038,3.24,2.89,2.9317,1131895.9,3480342.67494
2020-08-23,2.9213,3.2,2.7431,3.0126,1169417.78,3433997.193736
2020-08-24,3.0224,3.4,3.0014,3.25,1196438.38,3841397.029522
2020-08-25,3.2658,3.62,3.21,3.3405,1315196.06,4504839.417218
2020-08-26,3.3406,3.3654,3.0001,3.25,1149182.37,3629874.742954
2020-08-27,3.2576,3.7999,3.1809,3.5684,2289884.89,8065070.12626
2020-08-28,3.5557,3.8575,3.2434,3.4501,2412967.85,8578438.542332
2020-08-29,3.4503,4.3091,3.4503,4.0063,2581936.84,10089370.365356
2020-08-30,4.007,4.1121,3.7748,3.9535,1342616.0,5290037.897753
2020-08-31,3.9531,4.7117,3.9,4.4309,1815681.99,7967065.168313
2020-09-01,4.4127,4.8865,4.1,4.7435,1497129.12,6664671.747242
2020-09-02,4.7432,4.9475,4.3,4.3397,1267574.76,5871722.637441
2020-09-03,4.3213,4.3506,3.66,4.17,2002058.36,8136932.352629
2020-09-04,4.17,4.459,3.4772,3.5051,3275612.26,12941589.824478
2020-09-05,3.5062,3.8346,3.1739,3.5301,2052122.24,7262018.758656
2020-09-06,3.5301,3.6637,2.0926,2.6052,4426267.38,11872722.479966
2020-09-07,2.6119,3.18,2.2575,3.0941,2898758.91,7940868.463262
2020-09-08,3.0785,3.1983,2.38,2.9237,2680083.17,7269853.908694
2020-09-09,2.9237,2.9499,2.4,2.468,1626389.7,4163484.174943
2020-09-10,2.468,3.8838,2.3821,3.6001,6691121.99,22147440.589737
2020-09-11,3.6107,3.875,3.304,3.4761,4356829.77,15481863.649113
2020-09-12,3.4707,3.5036,3.0316,3.3965,2227636.94,7208721.224244
2020-09-13,3.3967,3.47,3.1494,3.3316,1161542.47,3845112.025727
2020-09-14,3.3386,3.47,2.9838,3.2603,2024766.19,6528331.909333
2020-09-15,3.2656,3.5393,3.0752,3.2641,3351649.61,11170955.417119
2020-09-16,3.264,3.3249,2.8955,2.9295,1698391.09,5332430.834567
2020-09-17,2.9288,2.9293,2.4282,2.5327,4886766.99,12739762.363066
2020-09-18,2.5376,2.9389,2.36,2.8829,4635747.31,12078123.514301
2020-09-19,2.883,3.16,2.726,3.1144,4169446.23,12294993.323244
2020-09-20,3.1084,3.2545,2.9564,3.031,1586209.86,4884868.002676
2020-09-21,3.0216,3.0319,2.7,2.8628,1456628.58,4183733.720404
2020-09-22,2.8628,3.0397,2.4689,2.7672,3567879.31,9634412.017789
2020-09-23,2.7571,3.0107,2.65,2.9082,3416786.33,9798314.273441
2020-09-24,2.9184,3.09,2.7001,2.8548,2762150.96,7980465.497946
2020-09-25,2.855,3.2571,2.7804,3.1433,2983701.04,9088676.27259
2020-09-26,3.1409,3.2766,2.9003,3.1937,2447843.22,7516842.110046
2020-09-27,3.185,3.25,3.03,3.1287,1357018.72,4232119.885692
2020-09-28,3.1292,3.1857,2.9819,3.1578,983815.86,3052809.12141
2020-09-29,3.1557,3.2109,2.908,2.9599,1306134.15,3987560.497313
2020-09-30,2.9549,3.027,2.8735,2.9505,950875.56,2801168.419802
